Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BRB,Barbados,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,77.0850059557042,..,..,..,..,..,..,..,..,..,..,..,..,..,79.6235778869499,80.2544725457571,79.1929361034002,79.4105378385615,..,..,..,..
BRN,Brunei Darussalam,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,138.713899945244,152.521546784409,156.436996753875,150.47533008961,136.7005346177,155.817184075709,151.933154412997,159.131812341139,159.366938551028,157.607132427865,154.763608670667,139.955724423291,131.478211813864,148.115160922503,148.325418833896,144.549274871472,177.394034433172,180.773476635489,201.482502532033,176.53007206844,..,..
BTN,Bhutan,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,59.686912746592,..,..,..,..,..,..,..,..,..,..,..,..,..,84.0375339224425,88.9098790934226,86.065750206163,84.3973492381151,..,..,..,..
BWA,Botswana,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,131.30505347345,124.292060983508,139.120239179045,136.944716949655,130.242972378173,127.665425773969,117.442620757585,111.853376282169,114.613812981072,112.597744310546,109.603236561399,107.699859277031,101.419849580211,94.9554783448461,87.1943703044821,89.0571084836977,86.212272409892,85.833843667165,88.4589131299607,87.8111064203212,..,..
CAF,Central African Republic,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAN,Canada,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,278.56187307608,283.945526351508,288.485717551214,291.160217624798,287.582587267884,283.017647973473,284.937892092278,276.594727130472,263.712668727103,257.53116253309,251.858187987551,243.929040946155,237.325042916668,245.911020804705,243.549911660257,240.464999302903,230.692945910236,228.651142687562,222.910657148315,217.887547029207,212.395940249576,..
CHE,Switzerland,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,108.426408414261,111.040847559158,111.486772483541,108.910143690389,108.667699837495,106.727046063728,108.119205058251,107.992924166485,106.482912843433,105.1730755934,100.281969102667,105.237895181223,102.088877594009,102.713019281562,100.620269648508,97.3814992995209,98.1046158876976,90.13017445341,91.9285859374258,94.3393306625982,89.7851497949542,..
CHI,Channel Islands,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHL,Chile,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,156.071199368917,147.906920191164,142.855232285172,136.936902228779,139.528387844139,135.804261391731,140.39739427154,147.837868169015,148.371182810213,159.020259347225,153.021571306339,145.17064488961,147.165853431743,143.154426725843,143.907911441644,139.671409826363,136.277431935414,131.475897662836,130.194674521404,130.136919225901,134.328769692815,..
CHN,China,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,690.666887956624,627.922681111306,568.488545825916,527.682471295534,487.946301603067,470.04657262264,442.657251948078,405.937172989813,375.926237425318,349.453174908817,325.074084563062,299.205069387024,296.943254363943,307.263051672522,325.318236392028,316.239722001307,306.669604999099,284.472645312085,279.840202181115,273.1621543151,..,..
