,link,date
112,https://engage.cloud.microsoft/main/org/uq.edu.au/groups/eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMDMzNDAxMDM2OCJ9,2026-01-09
113,https://my.uq.edu.au/information-and-services/information-technology/software-and-web-apps/uq-software-catalogue/adobe-software,2026-01-09
114,https://github.com/uqlibrary/technology-training-assets/raw/master/Acrobat/acrobat_essentials.pdf,2026-01-09
115,https://github.com/uqlibrary/technology-training-assets/raw/master/Acrobat/AcrobatEssentials.zip,2026-01-09
116,https://github.com/uqlibrary/technology-training-assets/raw/master/Word/word_styles_and_structure.pdf,2026-01-09
117,https://github.com/uqlibrary/technology-training-assets/raw/master/Word/WordStylesAndStructure.zip,2026-01-09
118,https://github.com/uqlibrary/technology-training-assets/raw/master/Word/cast_word.pdf,2026-01-09
119,https://github.com/uqlibrary/technology-training-assets/raw/master/Word/Word_CaST.zip,2026-01-09
120,https://youtu.be/Q-Dxg8fIPYg,2026-01-09
121,https://cran.r-project.org/bin/windows/base/release.htm,2026-01-09
122,https://posit.co/download/rstudio-desktop/#download,2026-01-09
123,https://cran.r-project.org/bin/macosx/,2026-01-09
124,https://posit.co/download/rstudio-desktop/#download,2026-01-09
125,https://cran.r-project.org/,2026-01-09
126,https://posit.co/download/rstudio-desktop/#download,2026-01-09
127,https://posit.co/resources/cheatsheets/,2026-01-09
128,https://r4ds.hadley.nz/,2026-01-09
129,https://swcarpentry.github.io/r-novice-gapminder/,2026-01-09
130,https://datacarpentry.github.io/R-ecology-lesson/,2026-01-09
131,https://www.jessesadler.com/post/excel-vs-r/,2026-01-09
132,https://education.rstudio.com/,2026-01-09
133,https://cran.r-project.org/manuals.html,2026-01-09
134,http://www.sthda.com/english/,2026-01-09
135,http://www.cookbook-r.com/,2026-01-09
136,https://www.linkedin.com/learning/topics/r,2026-01-09
137,https://bookdown.org/,2026-01-09
138,https://ladal.edu.au/tutorials.html,2026-01-09
139,https://exercism.org/tracks/r,2026-01-09
140,https://swirlstats.com/,2026-01-09
141,https://rstudio.github.io/learnr/,2026-01-09
142,https://www.r-graph-gallery.com/,2026-01-09
143,https://plotly-r.com/,2026-01-09
144,http://stackoverflow.com/questions/tagged/r,2026-01-09
145,https://stats.stackexchange.com/questions/tagged/r,2026-01-09
146,http://www.rdocumentation.org/,2026-01-09
147,https://rdrr.io/,2026-01-09
148,https://www.r-bloggers.com/,2026-01-09
149,https://rweekly.org/,2026-01-09
150,https://tidyverse.org/blog/,2026-01-09
151,https://web.library.uq.edu.au/study-and-learning-support/training-and-workshops/online-and-person-workshops,2026-01-09
152,https://uqrug.netlify.app/,2026-01-09
153,https://rcc.uq.edu.au/training-support/meetups,2026-01-09
154,https://www.jstatsoft.org/index.php/jss/article/view/v059i10/v59i10.pdf,2026-01-09
155,https://r4ds.hadley.nz/iteration.html,2026-01-09
156,https://raw.githubusercontent.com/rstudio/cheatsheets/master/tidyr.pdf,2026-01-09
157,https://raw.githubusercontent.com/rstudio/cheatsheets/master/purrr.pdf,2026-01-09
158,https://www.jstatsoft.org/index.php/jss/article/view/v059i10/v59i10.pdf,2026-01-09
159,https://exts.ggplot2.tidyverse.org/gallery/,2026-01-09
160,https://www.bioconductor.org,2026-01-09
161,https://jokergoo.github.io/ComplexHeatmap-reference/book/,2026-01-09
162,https://stackoverflow.com/questions/13605271/reasons-for-using-the-set-seed-function,2026-01-09
163,https://slowkow.com/notes/pheatmap-tutorial/,2026-01-09
164,https://rpubs.com/ab604/98032,2026-01-09
165,https://www.r-graph-gallery.com/heatmap,2026-01-09
166,https://jokergoo.github.io/ComplexHeatmap-reference/book/,2026-01-09
167,https://github.com/stemangiola/tidyHeatmap#tidyheatmap,2026-01-09
168,https://jbengler.github.io/tidyheatmaps/,2026-01-09
169,https://docs.ropensci.org/iheatmapr/,2026-01-09
170,https://exts.ggplot2.tidyverse.org/gallery/,2026-01-09
171,https://www.tidyverse.org/,2026-01-09
172,https://r4ds.hadley.nz/,2026-01-09
173,https://rstudio.github.io/cheatsheets/data-transformation.pdf,2026-01-09
174,https://r4ds.hadley.nz/transform,2026-01-09
175,https://download-directory.github.io/?url=https%3A%2F%2Fgithub.com%2Fuqlibrary%2Ftechnology-training%2Ftree%2Fmaster%2FR%2Fpackaging,2026-01-09
176,https://choosealicense.com/,2026-01-09
177,https://www.bioconductor.org/,2026-01-09
178,https://ropensci.org,2026-01-09
179,https://inkscape.org/,2026-01-09
180,https://en.wikipedia.org/wiki/Early_1980s_recession,2026-01-09
181,https://en.wikipedia.org/wiki/Financial_crisis_of_2007%E2%80%9308,2026-01-09
182,https://www.rstudio.org/links/data_visualization_cheat_sheet,2026-01-09
183,https://ggplot2.tidyverse.org/reference/,2026-01-09
184,https://ggplot2.tidyverse.org/,2026-01-09
185,https://r4ds.hadley.nz/data-visualize.html,2026-01-09
186,https://www.data-to-viz.com/,2026-01-09
187,https://r-statistics.co/ggplot2-Tutorial-With-R.html,2026-01-09
188,https://ourcodingclub.github.io/tutorials/datavis/,2026-01-09
189,https://www.sthda.com/english/wiki/ggplot2-essentials,2026-01-09
190,https://colorspace.r-forge.r-project.org/articles/color_spaces.html#human-color-vision-and-the-hcl-color-model-1,2026-01-09
191,https://r-charts.com/colors/,2026-01-09
192,https://www.rstudio.org/links/data_visualization_cheat_sheet,2026-01-09
193,https://ggplot2.tidyverse.org/reference/,2026-01-09
194,https://ggplot2.tidyverse.org/,2026-01-09
195,https://r4ds.hadley.nz/data-visualize.html,2026-01-09
196,https://www.data-to-viz.com/,2026-01-09
197,https://r-statistics.co/ggplot2-Tutorial-With-R.html,2026-01-09
198,https://ourcodingclub.github.io/tutorials/datavis/,2026-01-09
199,https://www.sthda.com/english/wiki/ggplot2-essentials,2026-01-09
200,https://plotly-r.com/,2026-01-09
201,https://cran.r-project.org/,2026-01-09
