country_code,year,spi
AZE,2016,63.3400001525879
AZE,2015,63.0200004577637
AZE,2014,61.6100006103516
AZE,2013,61.0999984741211
AZE,2012,59.7999992370606
AZE,2011,58.7799987792969
BHR,2020,66.5999984741211
BHR,2019,65.5500030517578
BHR,2018,65.5100021362305
BHR,2017,65.7399978637695
BHR,2016,65.4599990844727
BHR,2015,65.5599975585938
BHR,2014,65.4899978637695
BHR,2013,64.879997253418
BHR,2012,64.5100021362305
BHR,2011,66.5199966430664
BGD,2020,55.2299995422363
BGD,2019,55.2700004577637
BGD,2018,55.2799987792969
BGD,2017,55.8199996948242
BGD,2016,54.3600006103516
BGD,2015,53.6399993896484
BGD,2014,52.7599983215332
BGD,2013,52.1300010681152
BGD,2012,50.4199981689453
BGD,2011,49.7799987792969
BRB,2020,80.5
BRB,2019,80.5
BRB,2018,80.4499969482422
BRB,2017,79.9499969482422
BRB,2016,79.6999969482422
BRB,2015,79.3399963378906
BRB,2014,78.5
BRB,2013,78.25
BRB,2012,77.879997253418
BRB,2011,78.0699996948242
BLR,2020,77
BLR,2019,76.9700012207031
BLR,2018,76.9000015258789
BLR,2017,76.1699981689453
BLR,2016,74.9000015258789
BLR,2015,74.629997253418
BLR,2014,73.2300033569336
BLR,2013,72.5100021362305
BLR,2012,70.629997253418
BLR,2011,70.129997253418
BEL,2020,89.4599990844727
BEL,2019,89.3300018310547
BEL,2018,89.4700012207031
BEL,2017,89.370002746582
BEL,2016,88.9499969482422
BEL,2015,89.3899993896484
BEL,2014,88.9499969482422
BEL,2013,88.9300003051758
BEL,2012,87.620002746582
BEL,2011,87.2399978637695
BEN,2020,55.560001373291
BEN,2019,55.8400001525879
BEN,2018,55.0900001525879
BEN,2017,54.5200004577637
BEN,2016,53.2400016784668
BEN,2015,53.1800003051758
BEN,2014,52.3199996948242
BEN,2013,51.6399993896484
BEN,2012,50.8499984741211
BEN,2011,49.75
BTN,2020,68.3399963378906
BTN,2019,68.0800018310547
BTN,2018,67.3000030517578
BTN,2017,66.7099990844727
BTN,2016,65.3099975585937
BTN,2015,64.2399978637695
BTN,2014,63.6300010681152
BTN,2013,62.3300018310547
BTN,2012,60.6800003051758
BTN,2011,59.7200012207031
BOL,2020,69.2300033569336
BOL,2019,69.1999969482422
BOL,2018,68.7699966430664
BOL,2017,68.3000030517578
BOL,2016,67.9000015258789
BOL,2015,67.4599990844727
BOL,2014,66.1800003051758
BOL,2013,65.5
BOL,2012,63.9900016784668
BOL,2011,63.7099990844727
BIH,2020,72.7399978637695
BIH,2019,72.3899993896484
BIH,2018,72.4800033569336
BIH,2017,72.0400009155273
BIH,2016,71.9400024414063
BIH,2015,72.1100006103516
BIH,2014,70.9599990844727
BIH,2013,70.6100006103516
BIH,2012,69.7600021362305
BIH,2011,69.6100006103516
BWA,2020,69.3600006103516
BWA,2019,69.1900024414062
BWA,2018,68.0299987792969
BWA,2017,67.7600021362305
BWA,2016,67.4899978637695
BWA,2015,66.7900009155273
BWA,2014,65.9700012207031
BWA,2013,65.4100036621094
BWA,2012,64.3399963378906
BWA,2011,63.6300010681152
BRA,2020,73.9100036621094
BRA,2019,74.75
BRA,2018,75.0199966430664
BRA,2017,75.9800033569336
BRA,2016,76.3300018310547
BRA,2015,76.129997253418
BRA,2014,75.8399963378906
BRA,2013,75.4499969482422
BRA,2012,74.9499969482422
BRA,2011,74.120002746582
BGR,2020,79.8600006103516
BGR,2019,79.7300033569336
BGR,2018,79.6500015258789
BGR,2017,79.2699966430664
BGR,2016,78.8099975585938
BGR,2015,78.7099990844727
BGR,2014,77.4899978637695
BGR,2013,78.1999969482422
BGR,2012,77.4199981689453
BGR,2011,77.0699996948242
BFA,2020,49.8699989318848
BFA,2019,50.2700004577637
BFA,2018,50.1399993896484
BFA,2017,49.9199981689453
BFA,2016,48.5800018310547
BFA,2015,47.4099998474121
BFA,2014,46.5499992370606
